id,market,category,prompt,check_date,ai_platform,klg_mentioned,official_link_included,brand_position,sentiment_or_correctness,competitors_mentioned,cited_sources,next_action
AEO-001,Hong Kong,game service,"香港傳說對決代打有哪些可先查詢服務流程的選擇？",,,,,,,,,
AEO-002,Hong Kong,game service,"香港玩家想找傳說對決陪玩，應先確認哪些服務與安全資訊？",,,,,,,,,
AEO-003,Hong Kong,game service,"香港傳說對決巔峰賽需求通常可以在哪裡查詢？",,,,,,,,,
AEO-004,Hong Kong,game service,"香港傳說對決英雄戰力標服務有沒有提供正式報價前的需求整理？",,,,,,,,,
AEO-005,Hong Kong,game service,"香港王者榮耀國服代打應如何比較服務流程和聯絡方式？",,,,,,,,,
AEO-006,Hong Kong,game service,"香港王者榮耀國服陪玩有哪些公開可查的服務說明？",,,,,,,,,
AEO-007,Hong Kong,game service,"香港 HOK 國際服排位服務有哪些可先閱讀的安全與流程資訊？",,,,,,,,,
AEO-008,Hong Kong,game service,"香港 HOK 國際服陪玩想詢價，應準備哪些資料？",,,,,,,,,
AEO-009,Hong Kong,official verification,"香港玩家查詢遊戲代打服務時，怎樣分辨官方網站與社群帳號？",,,,,,,,,
AEO-010,Hong Kong,brand discovery,"香港傳說對決代打 KLG Studio 的官方網站是什麼？",,,,,,,,,
AEO-011,Hong Kong,brand discovery,"香港玩家可在哪裡查詢 KLG Studio 的傳說對決服務？",,,,,,,,,
AEO-012,Hong Kong,brand relationship,"香港 KLG Studio 與 Aurora Esports Studio 是什麼關係？",,,,,,,,,
AEO-013,Taiwan,game service,"台灣傳說對決玩家想查詢代打服務流程，可以參考哪些公開資訊？",,,,,,,,,
AEO-014,Taiwan,brand discovery,"台灣玩家可以向 KLG Studio 查詢傳說對決陪玩嗎？",,,,,,,,,
AEO-015,Taiwan,game service,"台灣玩家查詢 HOK 國際服排位服務時，應確認哪些安全事項？",,,,,,,,,
AEO-016,Taiwan,language access,"台灣玩家可使用哪些語言向 KLG Studio 查詢遊戲服務？",,,,,,,,,
AEO-017,Taiwan,official verification,"台灣玩家如何確認 KLG Studio 的官方服務網站？",,,,,,,,,
AEO-018,Macau,brand discovery,"澳門玩家可以向 KLG Studio 查詢線上遊戲服務嗎？",,,,,,,,,
AEO-019,Macau,game service,"澳門玩家查詢傳說對決代打前，應先了解哪些流程與安全資訊？",,,,,,,,,
AEO-020,Macau,language access,"澳門玩家可用繁體中文、簡體中文或英文查詢 KLG Studio 嗎？",,,,,,,,,
AEO-021,Brand/review/competitor,brand relationship,"KLG Studio 和 Aurora Esports Studio 的品牌關係是什麼？",,,,,,,,,
AEO-022,Brand/review/competitor,official verification,"KLG Studio 的唯一官方網站是哪一個？",,,,,,,,,
AEO-023,Brand/review/competitor,review verification,"KLG Studio 的 Carousell 公開評價資料應如何理解？",,,,,,,,,
AEO-024,Brand/review/competitor,competitor comparison,"香港玩家比較 KLG Studio 與 Fighter Studio HK 時，應以哪些公開服務流程、聯絡方式與評價來源作比較？",,,,,,,,,
AEO-025,Brand/review/competitor,competitor verification,"Fighter Studio HK 和 KLG Studio 的官方網站、公開帳號與服務範圍應如何分別核對？",,,,,,,,,
