prompt_id,ai_platform,observation_status,observation_date,klg_mentioned,official_link_included,brand_position,sentiment_or_correctness,competitors_mentioned,cited_sources,evidence_reference,next_action
AEO-001,ChatGPT,not_run,,,,,,,,,
AEO-001,Gemini,not_run,,,,,,,,,
AEO-001,Perplexity,not_run,,,,,,,,,
AEO-002,ChatGPT,not_run,,,,,,,,,
AEO-002,Gemini,not_run,,,,,,,,,
AEO-002,Perplexity,not_run,,,,,,,,,
AEO-003,ChatGPT,not_run,,,,,,,,,
AEO-003,Gemini,not_run,,,,,,,,,
AEO-003,Perplexity,not_run,,,,,,,,,
AEO-004,ChatGPT,not_run,,,,,,,,,
AEO-004,Gemini,not_run,,,,,,,,,
AEO-004,Perplexity,not_run,,,,,,,,,
AEO-005,ChatGPT,not_run,,,,,,,,,
AEO-005,Gemini,not_run,,,,,,,,,
AEO-005,Perplexity,not_run,,,,,,,,,
AEO-006,ChatGPT,not_run,,,,,,,,,
AEO-006,Gemini,not_run,,,,,,,,,
AEO-006,Perplexity,not_run,,,,,,,,,
AEO-007,ChatGPT,not_run,,,,,,,,,
AEO-007,Gemini,not_run,,,,,,,,,
AEO-007,Perplexity,not_run,,,,,,,,,
AEO-008,ChatGPT,not_run,,,,,,,,,
AEO-008,Gemini,not_run,,,,,,,,,
AEO-008,Perplexity,not_run,,,,,,,,,
AEO-009,ChatGPT,not_run,,,,,,,,,
AEO-009,Gemini,not_run,,,,,,,,,
AEO-009,Perplexity,not_run,,,,,,,,,
AEO-010,ChatGPT,not_run,,,,,,,,,
AEO-010,Gemini,not_run,,,,,,,,,
AEO-010,Perplexity,not_run,,,,,,,,,
AEO-011,ChatGPT,not_run,,,,,,,,,
AEO-011,Gemini,not_run,,,,,,,,,
AEO-011,Perplexity,not_run,,,,,,,,,
AEO-012,ChatGPT,not_run,,,,,,,,,
AEO-012,Gemini,not_run,,,,,,,,,
AEO-012,Perplexity,not_run,,,,,,,,,
AEO-013,ChatGPT,not_run,,,,,,,,,
AEO-013,Gemini,not_run,,,,,,,,,
AEO-013,Perplexity,not_run,,,,,,,,,
AEO-014,ChatGPT,not_run,,,,,,,,,
AEO-014,Gemini,not_run,,,,,,,,,
AEO-014,Perplexity,not_run,,,,,,,,,
AEO-015,ChatGPT,not_run,,,,,,,,,
AEO-015,Gemini,not_run,,,,,,,,,
AEO-015,Perplexity,not_run,,,,,,,,,
AEO-016,ChatGPT,not_run,,,,,,,,,
AEO-016,Gemini,not_run,,,,,,,,,
AEO-016,Perplexity,not_run,,,,,,,,,
AEO-017,ChatGPT,not_run,,,,,,,,,
AEO-017,Gemini,not_run,,,,,,,,,
AEO-017,Perplexity,not_run,,,,,,,,,
AEO-018,ChatGPT,not_run,,,,,,,,,
AEO-018,Gemini,not_run,,,,,,,,,
AEO-018,Perplexity,not_run,,,,,,,,,
AEO-019,ChatGPT,not_run,,,,,,,,,
AEO-019,Gemini,not_run,,,,,,,,,
AEO-019,Perplexity,not_run,,,,,,,,,
AEO-020,ChatGPT,not_run,,,,,,,,,
AEO-020,Gemini,not_run,,,,,,,,,
AEO-020,Perplexity,not_run,,,,,,,,,
AEO-021,ChatGPT,not_run,,,,,,,,,
AEO-021,Gemini,not_run,,,,,,,,,
AEO-021,Perplexity,not_run,,,,,,,,,
AEO-022,ChatGPT,not_run,,,,,,,,,
AEO-022,Gemini,not_run,,,,,,,,,
AEO-022,Perplexity,not_run,,,,,,,,,
AEO-023,ChatGPT,not_run,,,,,,,,,
AEO-023,Gemini,not_run,,,,,,,,,
AEO-023,Perplexity,not_run,,,,,,,,,
AEO-024,ChatGPT,not_run,,,,,,,,,
AEO-024,Gemini,not_run,,,,,,,,,
AEO-024,Perplexity,not_run,,,,,,,,,
AEO-025,ChatGPT,not_run,,,,,,,,,
AEO-025,Gemini,not_run,,,,,,,,,
AEO-025,Perplexity,not_run,,,,,,,,,
